Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control1.CB_faults,PCC_Control1.Fault,PCC_Control1.fault_fpu,PCC_Control1.fault_vpu,PCC_Control1.GFL,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.29,1.0,0.0,100000.0,2.42929e-05,-50002.633,-10000.54,0.996156,0.996156,1.002056e-11,-8.087883e-09,1.0038589,1.0098045e-11,201.78555,326.12256,326.12256,73.30904,-99.032234,1.0,143.7825,231.83128,1.0,-0.375658,0.99792296,1.6737602,1.6737602,1.0,-75.75601,-126.02954,-133.87793,-192.24463,-4.615583e-12,-9.563739e-14,1.6737603,1.6737603,1.6737602,0.039837368,1.0,1.0,1.0,1.6737602,1.6737602,-1.3275451e-07,-5.634276e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2895,1.0,0.0,100000.0,2.2400664e-05,-50002.633,-10000.54,0.996156,0.996156,-2.1493807e-10,1.692164e-08,1.0038589,-2.166001e-10,194.76067,316.8359,316.8359,73.30904,-93.01415,1.0,143.7825,231.83128,1.0,-0.37567732,0.997923,1.8308398,1.8308398,1.0,-45.215897,-149.54477,-85.41205,-231.42386,-4.472935e-12,-9.977298e-14,1.8308399,1.8308399,1.8308398,0.03983738,1.0,1.0,1.0,1.8308398,1.8308398,-1.3259971e-07,-5.6277063e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.289,1.0,0.0,100000.0,1.9736415e-05,-50002.633,-10000.54,0.996156,0.99615604,-5.345763e-10,6.694997e-09,1.0038589,-5.3871e-10,182.94011,299.7477,299.7477,73.30904,-84.70576,1.0,143.7825,231.83128,1.0,-0.3756966,0.99792296,1.9879194,1.9879194,1.0,-13.562414,-169.3777,-34.843044,-264.90466,-4.247181e-12,-1.04126485e-13,1.9879196,1.9879196,1.9879194,0.039837386,1.0,1.0,1.0,1.9879194,1.9879194,-1.324558e-07,-5.6215987e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2885,1.0,0.0,100000.0,1.7506445e-05,-50002.633,-10000.54,0.996156,0.996156,-7.7835793e-10,2.0556585e-09,1.0038589,-7.843767e-10,166.61497,275.27875,275.27875,73.30904,-74.31163,1.0,143.7825,231.83128,1.0,-0.37571588,0.99792296,2.144999,2.144999,1.0,18.425018,-185.04,16.583912,-291.86264,-4.0592685e-12,-1.09158356e-13,2.1449993,2.1449993,2.144999,0.039837375,1.0,1.0,1.0,2.144999,2.144999,-1.3231781e-07,-5.615742e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.288,1.0,0.0,100000.0,1.5639334e-05,-50002.633,-10000.54,0.996156,0.996156,-8.334193e-10,-3.3314465e-09,1.0038589,-8.398638e-10,146.18723,244.0315,244.03148,73.30904,-62.0877,1.0,143.7825,231.83128,1.0,-0.3757352,0.99792296,2.3020787,2.3020787,1.0,49.958767,-196.14598,67.602516,-311.634,-4.0431707e-12,-1.126128e-13,2.3020787,2.3020787,2.3020787,0.039837364,1.0,1.0,1.0,2.3020787,2.3020787,-1.3218705e-07,-5.6101928e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2875,1.0,0.0,100000.0,1.4640248e-05,-50002.633,-10000.54,0.996156,0.996156,-8.8101687e-10,-1.15151595e-08,1.0038589,-8.878295e-10,122.15985,206.77536,206.77536,73.30904,-48.334957,1.0,143.7825,231.83128,1.0,-0.37575448,0.99792296,2.4591582,2.4591582,1.0,80.26236,-202.42221,116.95653,-323.7319,-4.003306e-12,-1.1542656e-13,2.4591584,2.4591584,2.4591582,0.039837364,1.0,1.0,1.0,2.4591582,2.4591582,-1.3206358e-07,-5.6049525e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.287,1.0,0.0,100000.0,1.4361199e-05,-50002.633,-10000.54,0.996156,0.996156,-9.429036e-10,-1.0719611e-08,1.0038589,-9.501947e-10,95.124504,164.42775,164.42775,73.30904,-33.392048,1.0,143.7825,231.83128,1.0,-0.37577376,0.99792296,2.6162379,2.6162379,1.0,108.58963,-203.71414,163.43068,-327.85843,-3.8681714e-12,-1.1679339e-13,2.616238,2.616238,2.6162379,0.03983736,1.0,1.0,1.0,2.6162379,2.6162379,-1.3194791e-07,-5.6000435e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2865,1.0,0.0,100000.0,1.4522501e-05,-50002.633,-10000.54,0.996156,0.996156,-9.964403e-10,-1.0798423e-08,1.0038589,-1.0041453e-09,65.74687,118.03138,118.03138,73.30904,-17.626925,1.0,143.7825,231.83128,1.0,-0.37579307,0.997923,2.7733176,2.7733176,1.0,134.24307,-199.98994,205.88062,-323.912,-3.697147e-12,-1.1871534e-13,2.7733176,2.7733176,2.7733176,0.039837386,1.0,1.0,1.0,2.7733176,2.7733176,-1.3183967e-07,-5.5954494e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.286,1.0,0.0,100000.0,1.4960714e-05,-50002.633,-10000.54,0.996156,0.996156,-1.1745688e-09,-1.0277011e-08,1.0038589,-1.1836513e-09,34.750336,68.72868,68.72868,73.30904,-1.4277617,1.0,143.7825,231.83128,1.0,-0.37581235,0.99792296,2.9303973,2.9303973,1.0,156.59099,-191.34132,243.2611,-311.98978,-3.5723163e-12,-1.2243936e-13,2.9303973,2.9303973,2.9303973,0.039837375,1.0,1.0,1.0,2.9303973,2.9303973,-1.317376e-07,-5.591117e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
-0.2855,1.0,0.0,100000.0,1.5414034e-05,-50002.633,-10000.54,0.996156,0.996156,-1.2921535e-09,1.4630346e-09,1.0038589,-1.3021452e-09,2.8981326,17.73366,17.733658,73.30904,14.806569,1.0,143.7825,231.83128,1.0,-0.37583163,0.99792296,3.0874767,3.0874767,1.0,175.08313,-177.98126,274.65167,-292.38535,-3.4434636e-12,-1.2741033e-13,3.087477,3.087477,3.0874767,0.03983737,1.0,1.0,1.0,3.0874767,3.0874767,-1.3164068e-07,-5.5870037e-09,1.0,-1.0,1.0,1.0038589,1.0,0.0,1.0,1.0
