Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.df_Switch.df_diff,Battery inverter (Average)1.Control.df_Switch.df_sync,Battery inverter (Average)1.Control.df_Switch.df_o,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.dPh,Battery inverter (Average)1.Control.df_Switch.Phase_Synch.uPh,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.296,0.5,0.0,50000.0,-3.46052e-05,10112.809,10159.168,0.5012026,0.5012026,1.6149676e-10,2.4556318e-08,0.9976006,3.214454e-10,-43.441322,-160.19553,-160.19553,88.204865,78.57483,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157119,0.5029558,5.769171,5.769171,1.0,-59.141922,102.583244,-165.6045,325.80005,-2.1713291e-13,5.890171e-14,5.7691717,5.7691717,5.769171,0.03958908,1.0,1.0,-4.4918194e-09,0.0,-4.4918194e-09,1.5312402e-08,-2.2458757e-07,1.0,5.769171,5.769171,-1.01938525e-07,-6.4896084e-09,0.0,0.0,1.0,1.0
-0.2958,0.5,0.0,50000.0,-3.6690082e-05,10112.809,10159.168,0.5012026,0.5012026,7.397461e-11,1.1656737e-08,0.9976006,1.4724011e-10,-37.49272,-142.06496,-142.06496,88.204865,72.33651,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115716696,0.50295573,5.832003,5.832003,1.0,-64.31892,101.81164,-182.89609,324.96106,-4.772689e-13,5.8614124e-14,5.832003,5.832003,5.832003,0.03958907,1.0,1.0,-4.4861332e-09,0.0,-4.4861332e-09,1.5259502e-08,-2.2430721e-07,1.0,5.832003,5.832003,-1.0182074e-07,-6.48211e-09,0.0,0.0,1.0,1.0
-0.2956,0.5,0.0,50000.0,-3.861113e-05,10112.809,10159.168,0.5012026,0.5012026,-1.2047838e-11,1.2075174e-08,0.9976006,-2.3980188e-11,-31.396152,-123.37373,-123.37373,88.204865,65.81272,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157215,0.5029558,5.894835,5.894835,1.0,-69.24208,100.63823,-199.46587,322.8396,-7.4408616e-13,5.808994e-14,5.894835,5.894835,5.894835,0.039589085,1.0,1.0,-4.4960853e-09,0.0,-4.4960853e-09,1.5109464e-08,-2.2480867e-07,1.0,5.894835,5.894835,-1.0178652e-07,-6.4799313e-09,0.0,0.0,1.0,1.0
-0.2954,0.5,0.0,50000.0,-4.0549727e-05,10112.809,10159.168,0.5012026,0.5012026,-1.0781222e-10,6.272862e-09,0.9976006,-2.1459094e-10,-25.175678,-104.1956,-104.1956,88.204865,59.029186,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157263,0.50295573,5.957667,5.957667,1.0,-73.89197,99.06765,-215.24846,319.44406,-1.0950137e-12,5.720539e-14,5.957667,5.957667,5.957667,0.039589062,1.0,1.0,-4.521231e-09,0.0,-4.521231e-09,1.4865607e-08,-2.260697e-07,1.0,5.957667,5.957667,-1.0183532e-07,-6.4830377e-09,0.0,0.0,1.0,1.0
-0.2952,0.5,0.0,50000.0,-4.2305168e-05,10112.809,10159.168,0.5012026,0.5012026,-2.0657619e-10,1.2022193e-08,0.9976006,-4.1117215e-10,-18.855846,-84.606255,-84.606255,88.204865,52.01269,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.1157311,0.5029558,6.0204988,6.0204988,1.0,-78.250244,97.106094,-230.18155,314.7878,-1.5860216e-12,5.6456376e-14,6.0204988,6.0204988,6.0204988,0.039589066,1.0,1.0,-4.561139e-09,0.0,-4.561139e-09,1.4531164e-08,-2.2806876e-07,1.0,6.0204988,6.0204988,-1.01960104e-07,-6.490982e-09,0.0,0.0,1.0,1.0
-0.295,0.5,0.0,50000.0,-4.3932167e-05,10112.809,10159.168,0.5012026,0.5012026,-3.094249e-10,1.0765224e-08,0.9976006,-6.158837e-10,-12.461599,-64.68301,-64.68301,88.204865,44.790916,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115735896,0.5029558,6.0833306,6.0833306,1.0,-82.299706,94.76131,-244.20622,308.88922,-2.1268918e-12,5.5997914e-14,6.0833306,6.0833306,6.0833306,0.03958907,1.0,1.0,-4.615285e-09,0.0,-4.615285e-09,1.4109927e-08,-2.3077952e-07,1.0,6.0833306,6.0833306,-1.02159014e-07,-6.5036447e-09,0.0,0.0,1.0,1.0
-0.2948,0.5,0.0,50000.0,-4.540676e-05,10112.809,10159.168,0.5012026,0.5012026,-4.0861856e-10,5.5962617e-09,0.9976006,-8.133201e-10,-6.018172,-44.504486,-44.504486,88.204865,37.39238,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.115740694,0.50295573,6.1461625,6.1461625,1.0,-86.02436,92.042534,-257.26712,301.7716,-2.606155e-12,6.310796e-14,6.1461625,6.1461625,6.1461625,0.03958907,1.0,1.0,-4.683116e-09,0.0,-4.683116e-09,1.3605837e-08,-2.3417441e-07,1.0,6.1461625,6.1461625,-1.0242784e-07,-6.520759e-09,0.0,0.0,1.0,1.0
-0.2946,0.5,0.0,50000.0,-4.6778085e-05,10112.809,10159.168,0.5012026,0.5012026,-4.898779e-10,5.0342455e-09,0.9976006,-9.750599e-10,0.44900635,-24.150326,-24.150326,88.204865,29.84626,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11574549,0.5029558,6.2089944,6.2089944,1.0,-89.40952,88.96052,-269.3127,293.46304,-2.9635118e-12,1.062142e-13,6.2089944,6.2089944,6.2089944,0.03958907,1.0,1.0,-4.7638387e-09,0.0,-4.7638387e-09,1.3024327e-08,-2.3821364e-07,1.0,6.2089944,6.2089944,-1.02763295e-07,-6.5421144e-09,0.0,0.0,1.0,1.0
-0.2944,0.5,0.0,50000.0,-4.7751106e-05,10112.809,10159.168,0.5012026,0.5012026,-5.377605e-10,1.113594e-09,0.9976006,-1.0703661e-09,6.9144125,-3.7008543,-3.7008533,88.204865,22.182358,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11575029,0.5029558,6.2718263,6.2718263,1.0,-92.441826,85.52741,-280.29544,283.99628,-3.2291268e-12,1.6628814e-13,6.2718263,6.2718263,6.2718263,0.03958907,1.0,1.0,-4.856223e-09,0.0,-4.856223e-09,1.2373531e-08,-2.4283554e-07,1.0,6.2718263,6.2718263,-1.0316135e-07,-6.5674555e-09,0.0,0.0,1.0,1.0
-0.2942,0.5,0.0,50000.0,-4.8487913e-05,10112.809,10159.168,0.5012026,0.5012026,-5.6010235e-10,-5.26935e-09,0.9976006,-1.1148356e-09,13.3525305,16.763224,16.763224,88.204865,14.430907,1.0,1.0,0.9976006,1.0,-1.0,1.0,72.34213,230.386,1.0,0.11575509,0.5029558,0.051472753,0.051472742,1.0,-95.1093,81.75677,-290.17197,273.40875,-3.4916007e-12,2.2181517e-13,0.051472858,0.051472858,0.051472753,0.039589066,1.0,1.0,-4.9583346e-09,0.0,-4.9583346e-09,1.16659145e-08,-2.479433e-07,1.0,0.051472742,0.051472753,-1.0361754e-07,-6.5964976e-09,0.0,0.0,1.0,1.0
