Time,Battery inverter (Average)1.Control.Imode_control.Pref,Battery inverter (Average)1.Control.Imode_control.Qref,EUT_Interface.Peut_o,EUT_Interface.Qeut_o,MS_S3.uG-P,MS_S3.uG-Q,Battery inverter (Average)1.Control.Imode_control.Idref,Battery inverter (Average)1.Control.Id_out,Battery inverter (Average)1.Control.Imode_control.Iqref,Battery inverter (Average)1.Control.Iq_out,Battery inverter (Average)1.Control.Vd,Battery inverter (Average)1.Control.Vq,EUT_Interface.ia_o,MS_S3.Van_Grid,EUT_Interface.va_o,MS_S2.IA_RMS_Load,MS_S2.Ia_Load,MS_S1.S1_fb,PCC_Control.CB_faults,PCC_Control.fault_vpu,PCC_Control.fault_fpu,PCC_Control.Fault,PCC_Control.GFL,EUT_Interface.Ieut_o,MS_S2.VAn_RMS_Load,Battery inverter (Average)1.Control.Vmode_control.Vt_ref,Battery inverter (Average)1.Control.Vmode_control.Id_ref,Battery inverter (Average)1.Control.Id,Battery inverter (Average)1.Control.wt_Imode,Battery inverter (Average)1.Control.wt_Vmode,MS_S3.Sfb,EUT_Interface.ib_o,EUT_Interface.ic_o,EUT_Interface.vb_o,EUT_Interface.vc_o,Battery inverter (Average)1.Control.Synch.f_match.f_diff,Battery inverter (Average)1.Control.Synch.phase_match.phase_diff,Battery inverter (Average)1.Control.Synch.wt_u,Battery inverter (Average)1.Control.Synch.wt_i,Battery inverter (Average)1.Control.wt_out,Battery inverter (Average)1.Control.Iq,Battery inverter (Average)1.Control.Synch.f_u,Battery inverter (Average)1.Control.Synch.f_i,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inner_f,Battery inverter (Average)1.Control.Vmode_control.internal_frequency.inn_wt,Battery inverter (Average)1.Control.Imode_control.wt_out,Battery inverter (Average)1.Control.Imode_control.d_wt,Battery inverter (Average)1.Control.Imode_control.Default_A-IDM_APS.f_error,PCC_Control.d_2_f,Battery inverter (Average)1.Control.Inv_Cab_SM.read_mode.Grid forming,Battery inverter (Average)1.Control.Synch.freq_lock,Battery inverter (Average)1.Control.Synch.phase_lock
-0.296,1.0,0.0,100000.0,2.410737e-06,-89909.92,1.0005262,0.996657,0.996657,2.2859496e-10,-2.0660135e-08,1.0033542,2.3013104e-10,-98.473,-169.51924,-169.51924,14.512541,10.618905,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.7394814,5.722695,1.0,-105.45119,203.9242,-158.10866,327.6279,-0.0,1.2218179e-13,5.7394814,5.7394814,5.7394814,0.03981744,1.0,1.0,1.0,5.722695,5.7394814,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2958,1.0,0.0,100000.0,2.624523e-06,-89909.92,1.0005262,0.996657,0.996657,2.3645325e-10,-2.2230447e-08,1.0033542,2.3804214e-10,-87.06317,-151.57574,-151.57574,14.512541,9.495148,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.8023133,5.7855268,1.0,-116.20564,203.26881,-175.8193,327.39505,-0.0,1.2302758e-13,5.8023133,5.8023133,5.8023133,0.039817438,1.0,1.0,1.0,5.7855268,5.8023133,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2956,1.0,0.0,100000.0,3.4410868e-06,-89909.92,1.0005262,0.996657,0.99665695,2.2470016e-10,-7.73368e-09,1.0033542,2.2621008e-10,-75.309746,-133.03406,-133.03406,14.512541,8.333921,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.865145,5.8483586,1.0,-126.50149,201.81123,-192.83606,325.87012,-0.0,1.2386301e-13,5.865145,5.865145,5.865145,0.039817434,1.0,1.0,1.0,5.8483586,5.865145,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2954,1.0,0.0,100000.0,3.470169e-06,-89909.92,1.0005262,0.996657,0.996657,2.7258737e-10,-1.8312797e-08,1.0033542,2.7441904e-10,-63.259106,-113.96735,-113.96735,14.512541,7.1398034,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.927977,5.9111905,1.0,-136.2981,199.5572,-209.0918,323.05914,-0.0,1.2430484e-13,5.927977,5.927977,5.927977,0.039817445,1.0,1.0,1.0,5.9111905,5.927977,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2952,1.0,0.0,100000.0,2.7104222e-06,-89909.92,1.0005262,0.996657,0.996657,2.562705e-10,9.628469e-09,1.0033542,2.5799257e-10,-50.958813,-94.45086,-94.45086,14.512541,5.9175043,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,5.990809,5.9740224,1.0,-145.5568,196.5156,-224.52234,318.9732,-0.0,1.247048e-13,5.990809,5.990809,5.990809,0.03981745,1.0,1.0,1.0,5.9740224,5.990809,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.295,1.0,0.0,100000.0,2.6094629e-06,-89909.92,1.0005262,0.996657,0.99665695,1.5533018e-10,4.263728e-09,1.0033542,1.5637394e-10,-38.457405,-74.561615,-74.561615,14.512541,4.671853,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,6.053641,6.036854,1.0,-154.24104,192.69844,-239.0668,313.62842,-0.0,1.2556308e-13,6.053641,6.053641,6.053641,0.039817452,1.0,1.0,1.0,6.036854,6.053641,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2948,1.0,0.0,100000.0,2.8767652e-06,-89909.92,1.0005262,0.996657,0.996657,7.403368e-11,-1.3979156e-08,1.0033542,7.4531166e-11,-25.804226,-54.37811,-54.37811,14.512541,3.407763,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,6.1164722,6.0996857,1.0,-162.31657,188.12079,-252.66777,307.04587,-0.0,1.2605822e-13,6.1164722,6.1164722,6.1164722,0.039817456,1.0,1.0,1.0,6.0996857,6.1164722,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2946,1.0,0.0,100000.0,3.2745427e-06,-89909.92,1.0005262,0.996657,0.996657,7.313275e-11,-1.5861369e-08,1.0033542,7.362418e-11,-13.049209,-33.979996,-33.979996,14.512541,2.130225,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,6.179304,6.1625175,1.0,-169.75151,182.80072,-265.27158,299.25156,-0.0,1.2616981e-13,6.179304,6.179304,6.179304,0.039817438,1.0,1.0,1.0,6.1625175,6.179304,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2944,1.0,0.0,100000.0,3.3254414e-06,-89909.92,1.0005262,0.996657,0.996657,1.2971962e-10,-1.3916608e-08,1.0033542,1.305913e-10,-0.24269255,-13.447781,-13.447781,14.512541,0.84428376,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,6.242136,6.2253494,1.0,-176.51653,176.75922,-276.82846,290.27625,-0.0,1.2614393e-13,6.242136,6.242136,6.242136,0.03981744,1.0,1.0,1.0,6.2253494,6.242136,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
-0.2942,1.0,0.0,100000.0,2.661638e-06,-89909.92,1.0005262,0.996657,0.99665695,2.2113818e-10,7.4087034e-09,1.0033542,2.2262416e-10,12.564781,7.1375027,7.137504,14.512541,-0.4449919,1.0,1.0,1.0033542,1.0,-1.0,1.0,143.85481,231.71472,1.0,-1.0,0.9984217,0.021782717,0.0049961326,1.0,-182.5849,170.02011,-287.29285,280.15533,-0.0,1.2611411e-13,0.021782717,0.021782717,0.021782717,0.03981745,1.0,1.0,1.0,0.0049961326,0.021782717,-0.0,-5.5649387e-09,0.0,0.0,1.0,1.0
